Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,dataset
SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,2022-01-05 08:45:00,2022-01-05 13:15:00,4h 30m,1 stop,No info,5830.0,train
Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 14:00:00,2022-06-13 12:35:00,22h 35m,1 stop,In-flight meal not included,10262.0,train
Air India,2019-12-06,Delhi,Cochin,DEL → CCU → BOM → COK,2022-01-05 20:15:00,2022-06-13 19:15:00,23h,2 stops,No info,13381.0,train
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 16:00:00,2022-05-28 12:35:00,20h 35m,1 stop,In-flight meal not included,12898.0,train
GoAir,2019-06-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 14:10:00,2022-01-05 19:20:00,5h 10m,1 stop,No info,19495.0,train
Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,2022-01-05 22:00:00,2022-03-19 13:20:00,15h 20m,1 stop,No info,6955.0,train
IndiGo,2019-03-04,Banglore,Delhi,BLR → DEL,2022-01-05 04:00:00,2022-01-05 06:50:00,2h 50m,non-stop,No info,3943.0,train
IndiGo,2019-01-05,Banglore,Delhi,BLR → DEL,2022-01-05 18:55:00,2022-01-05 21:50:00,2h 55m,non-stop,No info,4823.0,train
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 18:55:00,2022-05-07 08:15:00,13h 20m,1 stop,In-flight meal not included,7757.0,train
Jet Airways,2019-09-06,Delhi,Cochin,DEL → IDR → BOM → COK,2022-01-05 21:25:00,2022-06-10 12:35:00,15h 10m,2 stops,No info,13292.0,train
IndiGo,2019-01-06,Delhi,Cochin,DEL → LKO → COK,2022-01-05 21:50:00,2022-06-02 03:35:00,5h 45m,1 stop,No info,8238.0,train
GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,2022-01-05 07:00:00,2022-01-05 12:55:00,5h 55m,1 stop,No info,7682.0,train
Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,2022-01-05 09:45:00,2022-01-05 12:35:00,2h 50m,non-stop,No info,4668.0,train
Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,2022-01-05 07:05:00,2022-01-05 09:20:00,2h 15m,non-stop,No info,3687.0,train
Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,2022-01-05 07:05:00,2022-01-05 09:20:00,2h 15m,non-stop,No info,3687.0,train
Air India,2019-01-05,Kolkata,Banglore,CCU → GAU → DEL → BLR,2022-01-05 09:50:00,2022-01-05 23:15:00,13h 25m,2 stops,No info,13227.0,train
IndiGo,2019-06-04,Banglore,Delhi,BLR → DEL,2022-01-05 04:00:00,2022-01-05 06:50:00,2h 50m,non-stop,No info,4423.0,train
Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,2022-01-05 14:35:00,2022-06-16 12:35:00,22h,2 stops,In-flight meal not included,10919.0,train
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,2022-01-05 07:05:00,2022-01-05 12:35:00,5h 30m,1 stop,In-flight meal not included,12373.0,train
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 10:35:00,2022-01-05 21:00:00,10h 25m,1 stop,No info,5894.0,train
SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,2022-01-05 15:05:00,2022-01-05 20:20:00,5h 15m,1 stop,No info,4649.0,train
Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,2022-01-05 14:15:00,2022-01-05 16:45:00,2h 30m,non-stop,No info,6245.0,train
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 07:00:00,2022-01-05 13:15:00,6h 15m,1 stop,No info,19225.0,train
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 07:05:00,2022-01-05 19:00:00,11h 55m,1 stop,No info,14924.0,train
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,2022-01-05 07:05:00,2022-01-05 18:10:00,11h 5m,1 stop,No info,9646.0,train
Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 06:45:00,2022-01-05 15:15:00,8h 30m,1 stop,No info,8714.0,train
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,2022-01-05 20:55:00,2022-05-19 19:00:00,22h 5m,1 stop,In-flight meal not included,12373.0,train
Air Asia,2019-06-05,Banglore,Delhi,BLR → DEL,2022-01-05 11:10:00,2022-01-05 13:55:00,2h 45m,non-stop,No info,3383.0,train
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,2022-01-05 09:00:00,2022-01-05 21:00:00,12h,1 stop,No info,13062.0,train
SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,2022-01-05 05:45:00,2022-01-05 08:35:00,2h 50m,non-stop,No check-in baggage included,3527.0,train
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,2022-01-05 04:00:00,2022-01-05 06:50:00,2h 50m,non-stop,No info,3943.0,train
Air India,2019-03-05,Chennai,Kolkata,MAA → CCU,2022-01-05 11:40:00,2022-01-05 13:55:00,2h 15m,non-stop,No info,4667.0,train
Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,2022-01-05 19:00:00,2022-05-16 11:05:00,16h 5m,1 stop,No info,6117.0,train
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 23:05:00,2022-06-28 19:00:00,19h 55m,2 stops,In-flight meal not included,11150.0,train
Jet Airways,2019-09-03,Delhi,Cochin,DEL → COK,2022-01-05 11:00:00,2022-01-05 14:15:00,3h 15m,non-stop,In-flight meal not included,7202.0,train
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 09:35:00,2022-05-02 10:55:00,25h 20m,1 stop,No info,12121.0,train
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,2022-01-05 22:20:00,2022-03-28 01:10:00,2h 50m,non-stop,No info,4377.0,train
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,2022-01-05 21:15:00,2022-06-19 00:15:00,3h,non-stop,No info,3943.0,train
Air Asia,2019-03-04,Banglore,Delhi,BLR → DEL,2022-01-05 23:55:00,2022-04-04 02:45:00,2h 50m,non-stop,No info,4483.0,train
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 19:45:00,2022-03-25 12:00:00,16h 15m,1 stop,No info,14231.0,train
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,2022-01-05 08:50:00,2022-01-05 23:55:00,15h 5m,2 stops,No info,17345.0,train
Vistara,2019-06-03,Chennai,Kolkata,MAA → CCU,2022-01-05 07:05:00,2022-01-05 09:20:00,2h 15m,non-stop,No info,7414.0,train
Multiple carriers,2019-06-05,Delhi,Cochin,DEL → BOM → COK,2022-01-05 19:00:00,2022-05-07 01:30:00,6h 30m,1 stop,No info,8073.0,train
Vistara,2019-06-03,Mumbai,Hyderabad,BOM → DEL → HYD,2022-01-05 15:40:00,2022-03-07 16:45:00,25h 5m,1 stop,No info,12395.0,train
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 09:25:00,2022-01-05 21:50:00,12h 25m,1 stop,No info,8366.0,train
Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,2022-01-05 06:05:00,2022-04-04 09:25:00,27h 20m,1 stop,No info,5117.0,train
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 08:45:00,2022-01-05 19:00:00,10h 15m,1 stop,No info,12524.0,train
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,2022-01-05 15:00:00,2022-05-16 01:30:00,10h 30m,1 stop,No info,7191.0,train
Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,2022-01-05 07:05:00,2022-01-05 09:20:00,2h 15m,non-stop,No info,3687.0,train
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,2022-01-05 10:35:00,2022-01-05 21:00:00,10h 25m,1 stop,No info,5894.0,train
Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,2022-01-05 09:45:00,2022-01-05 12:35:00,2h 50m,non-stop,No info,5403.0,train
Air India,2019-06-05,Mumbai,Hyderabad,BOM → HYD,2022-01-05 13:55:00,2022-01-05 15:25:00,1h 30m,non-stop,No info,3625.0,train
Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,2022-01-05 05:55:00,2022-01-05 19:15:00,13h 20m,2 stops,No info,10861.0,train
IndiGo,2019-12-03,Chennai,Kolkata,MAA → CCU,2022-01-05 13:20:00,2022-01-05 15:35:00,2h 15m,non-stop,No info,6297.0,train
Jet Airways,2019-01-06,Mumbai,Hyderabad,BOM → HYD,2022-01-05 07:05:00,2022-01-05 08:30:00,1h 25m,non-stop,No info,5678.0,train
Jet Airways,2019-09-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 05:45:00,2022-03-13 08:15:00,26h 30m,1 stop,In-flight meal not included,9134.0,train
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:40:00,2022-01-05 19:00:00,7h 20m,1 stop,In-flight meal not included,10791.0,train
Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 23:05:00,2022-06-25 12:35:00,13h 30m,2 stops,No info,12819.0,train
IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,2022-01-05 05:05:00,2022-01-05 10:05:00,5h,1 stop,No info,6893.0,train
Vistara,2019-09-03,Banglore,New Delhi,BLR → DEL,2022-01-05 09:50:00,2022-01-05 12:35:00,2h 45m,non-stop,No info,7240.0,train
GoAir,2019-03-04,Banglore,Delhi,BLR → DEL,2022-01-05 11:40:00,2022-01-05 14:30:00,2h 50m,non-stop,No info,3898.0,train
IndiGo,2019-03-04,Mumbai,Hyderabad,BOM → HYD,2022-01-05 06:25:00,2022-01-05 07:55:00,1h 30m,non-stop,No info,4049.0,train
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,2022-01-05 17:30:00,2022-06-16 12:35:00,19h 5m,1 stop,In-flight meal not included,10262.0,train
SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,2022-01-05 08:20:00,2022-01-05 10:35:00,2h 15m,non-stop,No check-in baggage included,3332.0,train
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 21:10:00,2022-06-10 12:00:00,14h 50m,1 stop,In-flight meal not included,10844.0,train
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,2022-01-05 19:55:00,2022-01-05 22:35:00,2h 40m,non-stop,No info,7229.0,train
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 06:30:00,2022-05-07 04:40:00,22h 10m,1 stop,No info,13941.0,train
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:25:00,2022-01-05 21:00:00,9h 35m,1 stop,No info,5894.0,train
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,2022-01-05 09:00:00,2022-01-05 19:00:00,10h,1 stop,No info,10197.0,train
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 14:05:00,2022-03-07 11:25:00,21h 20m,1 stop,In-flight meal not included,13712.0,train
IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,2022-01-05 02:00:00,2022-01-05 07:25:00,5h 25m,1 stop,No info,5636.0,train
Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,2022-01-05 09:40:00,2022-06-07 04:25:00,18h 45m,2 stops,No info,13014.0,train
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 08:25:00,2022-01-05 20:45:00,12h 20m,1 stop,In-flight meal not included,7064.0,train
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 20:25:00,2022-05-25 14:25:00,18h,1 stop,In-flight meal not included,10703.0,train
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,2022-01-05 13:15:00,2022-01-05 22:30:00,9h 15m,1 stop,No info,9646.0,train
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 02:15:00,2022-01-05 13:20:00,11h 5m,1 stop,No info,17057.0,train
Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 16:55:00,2022-03-13 10:25:00,17h 30m,1 stop,No info,13817.0,train
Air India,2019-06-03,Delhi,Cochin,DEL → BHO → BOM → COK,2022-01-05 05:55:00,2022-01-05 19:15:00,13h 20m,2 stops,No info,13748.0,train
Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,2022-01-05 20:45:00,2022-01-05 23:20:00,2h 35m,non-stop,No info,4880.0,train
IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,2022-01-05 05:15:00,2022-01-05 07:40:00,2h 25m,non-stop,No info,3540.0,train
SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,2022-01-05 05:55:00,2022-01-05 08:35:00,2h 40m,non-stop,No check-in baggage included,3257.0,train
Jet Airways,2019-03-06,Banglore,Delhi,BLR → DEL,2022-01-05 19:50:00,2022-01-05 22:50:00,3h,non-stop,In-flight meal not included,6478.0,train
Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,2022-01-05 07:05:00,2022-01-05 08:30:00,1h 25m,non-stop,No info,8040.0,train
Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,2022-01-05 20:00:00,2022-06-13 12:35:00,16h 35m,2 stops,No info,14300.0,train
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 08:25:00,2022-01-05 20:45:00,12h 20m,1 stop,No info,14781.0,train
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 20:00:00,2022-06-10 08:15:00,12h 15m,1 stop,No info,14939.0,train
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,2022-01-05 20:55:00,2022-06-25 04:25:00,7h 30m,1 stop,In-flight meal not included,10262.0,train
Air India,2019-12-05,Kolkata,Banglore,CCU → MAA → BLR,2022-01-05 14:35:00,2022-05-13 14:35:00,24h,1 stop,No info,6528.0,train
Air India,2019-01-05,Banglore,Delhi,BLR → DEL,2022-01-05 06:10:00,2022-01-05 08:55:00,2h 45m,non-stop,No info,6121.0,train
Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,2022-01-05 19:30:00,2022-05-19 04:25:00,8h 55m,2 stops,In-flight meal not included,13029.0,train
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:40:00,2022-01-05 18:50:00,7h 10m,1 stop,No info,11421.0,train
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 04:45:00,2022-01-05 19:15:00,14h 30m,1 stop,No info,7574.0,train
Air India,2019-09-05,Delhi,Cochin,DEL → JDH → BOM → COK,2022-01-05 12:55:00,2022-05-10 19:15:00,30h 20m,2 stops,No info,11596.0,train
Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 23:05:00,2022-05-25 19:00:00,19h 55m,2 stops,No info,15129.0,train
Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 14:05:00,2022-03-16 05:05:00,15h,1 stop,No info,13555.0,train
IndiGo,2019-12-04,Banglore,Delhi,BLR → DEL,2022-01-05 18:55:00,2022-01-05 21:50:00,2h 55m,non-stop,No info,5780.0,train
Vistara,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 20:20:00,2022-05-13 09:05:00,12h 45m,1 stop,No info,9397.0,train
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 18:15:00,2022-03-07 04:25:00,10h 10m,1 stop,No info,17024.0,train
GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 07:00:00,2022-01-05 12:55:00,5h 55m,1 stop,No info,5281.0,train
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,2022-01-05 07:05:00,2022-01-05 22:30:00,15h 25m,1 stop,No info,10348.0,train
Air India,2019-06-03,Delhi,Cochin,DEL → MAA → COK,2022-01-05 17:20:00,2022-03-07 09:25:00,16h 5m,1 stop,No info,12677.0,train
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 15:25:00,2022-03-04 01:35:00,10h 10m,1 stop,No info,15147.0,train
Vistara,2019-12-06,Banglore,Delhi,BLR → DEL,2022-01-05 07:00:00,2022-01-05 09:40:00,2h 40m,non-stop,No info,4668.0,train
Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,2022-01-05 07:05:00,2022-01-05 19:00:00,11h 55m,1 stop,No info,15554.0,train
SpiceJet,2019-09-04,Banglore,Delhi,BLR → DEL,2022-01-05 05:55:00,2022-01-05 08:35:00,2h 40m,non-stop,No info,3971.0,train
Air India,2019-03-05,Mumbai,Hyderabad,BOM → HYD,2022-01-05 15:00:00,2022-01-05 16:25:00,1h 25m,non-stop,No info,3100.0,train
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 20:00:00,2022-05-07 10:05:00,14h 5m,1 stop,In-flight meal not included,9663.0,train
Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 23:00:00,2022-03-02 19:15:00,20h 15m,1 stop,No info,27430.0,train
IndiGo,2019-12-05,Chennai,Kolkata,MAA → CCU,2022-01-05 05:15:00,2022-01-05 07:40:00,2h 25m,non-stop,No info,3540.0,train
Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,2022-01-05 12:00:00,2022-05-22 11:10:00,23h 10m,2 stops,No info,10676.0,train
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 14:05:00,2022-06-13 08:15:00,18h 10m,1 stop,No info,13044.0,train
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 20:00:00,2022-05-07 12:00:00,16h,1 stop,No info,14388.0,train
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,2022-01-05 04:00:00,2022-01-05 06:50:00,2h 50m,non-stop,No info,3943.0,train
IndiGo,2019-03-06,Chennai,Kolkata,MAA → CCU,2022-01-05 14:45:00,2022-01-05 17:05:00,2h 20m,non-stop,No info,3597.0,train
Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,2022-01-05 11:50:00,2022-01-05 19:50:00,8h,1 stop,No info,5932.0,train
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:30:00,2022-06-16 04:25:00,16h 55m,1 stop,In-flight meal not included,10262.0,train
Vistara,2019-12-05,Delhi,Cochin,DEL → COK,2022-01-05 14:40:00,2022-01-05 17:50:00,3h 10m,non-stop,No info,6216.0,train
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,2022-01-05 20:25:00,2022-01-05 23:10:00,2h 45m,non-stop,No info,4804.0,train
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:30:00,2022-05-22 01:30:00,14h,1 stop,No info,14067.0,train
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 19:10:00,2022-05-19 19:00:00,23h 50m,2 stops,No info,15129.0,train
Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,2022-01-05 06:45:00,2022-06-07 04:25:00,21h 40m,2 stops,No info,13376.0,train
Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,2022-01-05 22:00:00,2022-06-28 19:15:00,21h 15m,2 stops,No info,10441.0,train
Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,2022-01-05 06:00:00,2022-01-05 08:45:00,2h 45m,non-stop,In-flight meal not included,4030.0,train
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 08:00:00,2022-01-05 18:50:00,10h 50m,1 stop,No info,17024.0,train
Multiple carriers,2019-09-04,Delhi,Cochin,DEL → BOM → COK,2022-01-05 17:30:00,2022-04-10 01:30:00,8h,1 stop,No info,13017.0,train
GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 23:30:00,2022-06-07 07:45:00,8h 15m,1 stop,No info,6686.0,train
IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,2022-01-05 02:00:00,2022-01-05 07:25:00,5h 25m,1 stop,No info,5636.0,train
IndiGo,2019-09-06,Delhi,Cochin,DEL → HYD → COK,2022-01-05 07:35:00,2022-01-05 16:10:00,8h 35m,1 stop,No info,6442.0,train
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,2022-01-05 13:05:00,2022-05-22 00:55:00,11h 50m,1 stop,No info,9486.0,train
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 20:00:00,2022-05-22 23:35:00,27h 35m,1 stop,In-flight meal not included,10844.0,train
Jet Airways,2019-03-06,Delhi,Cochin,DEL → ATQ → BOM → COK,2022-01-05 20:00:00,2022-06-04 04:25:00,8h 25m,2 stops,In-flight meal not included,15318.0,train
Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,2022-01-05 12:30:00,2022-04-04 09:25:00,20h 55m,1 stop,No info,5117.0,train
IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,2022-01-05 15:10:00,2022-01-05 20:00:00,4h 50m,1 stop,No info,6147.0,train
Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 12:50:00,2022-01-05 21:00:00,8h 10m,1 stop,No info,7005.0,train
SpiceJet,2019-03-04,Kolkata,Banglore,CCU → BLR,2022-01-05 22:20:00,2022-04-04 00:40:00,2h 20m,non-stop,No info,3873.0,train
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,2022-01-05 18:25:00,2022-03-22 18:50:00,24h 25m,2 stops,In-flight meal not included,9270.0,train
GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,2022-01-05 11:40:00,2022-01-05 14:30:00,2h 50m,non-stop,No info,3898.0,train
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 08:25:00,2022-01-05 20:45:00,12h 20m,1 stop,No info,14781.0,train
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 20:00:00,2022-05-25 08:15:00,12h 15m,1 stop,In-flight meal not included,8586.0,train
Air India,2019-09-05,Kolkata,Banglore,CCU → JAI → BOM → BLR,2022-01-05 08:20:00,2022-05-10 07:55:00,23h 35m,2 stops,No info,10697.0,train
Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,2022-01-05 20:00:00,2022-06-28 12:35:00,16h 35m,2 stops,No info,14300.0,train
IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,2022-01-05 18:55:00,2022-01-05 21:45:00,2h 50m,non-stop,No info,8855.0,train
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 16:30:00,2022-05-13 18:15:00,25h 45m,1 stop,In-flight meal not included,10844.0,train
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 02:15:00,2022-03-07 04:25:00,26h 10m,1 stop,No info,17024.0,train
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 09:35:00,2022-05-02 14:25:00,28h 50m,1 stop,In-flight meal not included,9314.0,train
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,2022-01-05 00:40:00,2022-01-05 03:25:00,2h 45m,non-stop,No info,4777.0,train
Air India,2019-09-06,Kolkata,Banglore,CCU → BBI → BLR,2022-01-05 12:00:00,2022-06-10 13:15:00,25h 15m,1 stop,No info,7662.0,train
IndiGo,2019-09-05,Delhi,Cochin,DEL → HYD → COK,2022-01-05 06:50:00,2022-01-05 16:10:00,9h 20m,1 stop,No info,6442.0,train
SpiceJet,2019-12-06,Delhi,Cochin,DEL → PNQ → COK,2022-01-05 08:45:00,2022-01-05 13:15:00,4h 30m,1 stop,No info,5264.0,train
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 13:00:00,2022-05-28 04:25:00,15h 25m,1 stop,In-flight meal not included,12898.0,train
Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,2022-01-05 13:55:00,2022-01-05 15:25:00,1h 30m,non-stop,No info,6092.0,train
SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,2022-01-05 05:55:00,2022-01-05 08:35:00,2h 40m,non-stop,No info,3311.0,train
